window_duration_seconds,aci,adi,bioacoustic_index,ndsi,ndsi_ratio_ba,anthropophony,biophony,spectral_entropy_eas,spectral_entropy_ecu,spectral_entropy_ecv,spectral_entropy_eps,spectral_entropy_eps_kurt,spectral_entropy_eps_skew,temporal_entropy,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,mfcc_01_mean,mfcc_01_std,mfcc_02_mean,mfcc_02_std,mfcc_03_mean,mfcc_03_std,mfcc_04_mean,mfcc_04_std,mfcc_05_mean,mfcc_05_std,mfcc_06_mean,mfcc_06_std,mfcc_07_mean,mfcc_07_std,mfcc_08_mean,mfcc_08_std,mfcc_09_mean,mfcc_09_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,state,recording_id,species_id,common_name,scientific_name,window_index,window_start_seconds,window_end_seconds,window_duration_used,flag_short_window,original_sample_rate,original_channels,flag_short_duration,flag_low_amplitude,flag_clipping,flag_low_quality,flag_any,flag_bandlimit_incompatible
10.0,463.55584716796875,2.159500463441309,867.5644444444445,0.993762500156596,319.6412906150164,429.660145380088,137337.1233951269,0.10251253754179901,0.33276501120173285,0.16340991889674827,0.2148209181523002,20.80327218574928,3.4064980236845486,0.7187227707520667,0.012758910655975342,0.01680334284901619,0.5269252232142857,0.08914794298316508,5852.585259207501,903.4441952132959,2660.513341692592,558.1025027384078,8918.906490138319,428.4943211417646,-195.72653198242188,28.135719299316406,-17.257051467895508,26.525033950805664,7.869797229766846,11.123189926147461,0.056685954332351685,6.632674694061279,-5.815862655639648,6.311105251312256,-0.6421213150024414,7.827796459197998,-1.2740437984466553,6.332374095916748,2.9191653728485107,5.6438798904418945,1.9808251857757568,4.245346546173096,1.338388442993164,4.011370658874512,1.6370346546173096,4.067595958709717,-0.20446215569972992,3.6123132705688477,-0.7044890522956848,2.8135480880737305,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,4,40.0,50.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,470.096435546875,2.0336737104070526,1020.7237188208617,0.9970770280280088,683.2350933106924,408.42503386714577,279050.31612464203,0.11557056496026241,0.4257213541063811,0.23995087293222672,0.21687050533637264,21.541150096983287,3.4882513811805076,0.7667166942136716,0.02011255733668804,0.022316664457321167,0.562654374634075,0.09690595527938639,6254.995143385403,925.6115793044427,2422.940134705558,545.2120944882837,8891.422659451844,531.2346465913453,-181.0999755859375,26.21653175354004,-27.98654556274414,26.048091888427734,9.729207038879395,11.629260063171387,1.8382762670516968,8.030096054077148,-3.290553569793701,7.391939163208008,1.8640373945236206,9.045540809631348,-2.608539581298828,8.063643455505371,0.19113126397132874,6.238628387451172,-2.20247745513916,5.16667366027832,-0.5057995319366455,4.254303932189941,0.6534820199012756,4.106533050537109,-1.2854993343353271,3.671602964401245,-0.4611932039260864,3.626008987426758,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,5,50.0,60.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,456.6099853515625,2.1031517441347822,984.9189115646259,0.9953591274087109,429.95343831545256,450.3511453813796,193630.0234060264,0.13205156493662773,0.4113164213507321,0.23267002395468828,0.2567752849748547,31.790487569030642,4.512374850613702,0.6952061242450792,0.01428272482007742,0.02059987187385559,0.5187319324502342,0.09444982453061404,5793.049540352615,922.5599577573629,2660.2534000016635,566.9811758764405,8873.595991290984,461.95520573345533,-192.51185607910156,28.038116455078125,-15.330110549926758,26.36693000793457,6.696996688842773,10.097525596618652,1.55583655834198,6.297048568725586,-2.2620246410369873,6.3643317222595215,1.4542187452316284,6.934835910797119,-3.5544307231903076,6.786187648773193,-1.2903028726577759,5.709273815155029,-1.2202105522155762,4.065273761749268,0.6276545524597168,3.955531358718872,1.657862901687622,3.822871685028076,-0.6210452914237976,3.1723906993865967,0.144555002450943,2.8375418186187744,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,6,60.0,70.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,458.5938720703125,2.1795003107927338,734.3228117913832,0.9898651353665546,196.33860020191295,501.5362780866175,98470.93079000383,0.10308907920405619,0.30251623600908795,0.16045961555709853,0.22243984849706622,18.740655683837616,3.485969453421337,0.6478956348286768,0.009253834374248981,0.015313641168177128,0.5064871651785714,0.08049170399550085,5640.94010118697,808.5386599934293,2885.1763408963275,486.3937382464463,9055.493564293032,375.0219824995412,-204.33642578125,28.78426170349121,-5.770106792449951,23.407230377197266,9.213479995727539,9.359219551086426,-0.33312758803367615,6.051023483276367,-3.666917085647583,5.518489837646484,-1.50737464427948,5.699558734893799,-0.8184720873832703,6.061899662017822,-0.21876569092273712,5.12608003616333,0.4829848110675812,3.7844274044036865,0.1043250560760498,3.5606117248535156,0.6670446395874023,3.4418604373931885,-1.0924605131149292,2.9887731075286865,0.06818044930696487,2.7892839908599854,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,7,70.0,80.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,463.6069030761719,1.9947329150031012,756.8524716553288,0.9940510692839382,335.1948718952219,471.17327241964335,157934.86468915484,0.16405887368163385,0.5862242964416868,0.3331686683050731,0.26033175262022856,190.9684111152199,10.790625268889748,0.6368224056995727,0.011600842699408531,0.019423911347985268,0.5151527279713115,0.09179366805421076,5726.727652056494,891.6426755272612,2808.4071029793413,548.0254586522332,9036.607886142418,420.6156816731939,-201.47573852539062,29.502119064331055,-9.581548690795898,26.610803604125977,9.981322288513184,10.515003204345703,-0.6608394384384155,6.736190319061279,-4.691426753997803,6.075567722320557,-0.8084951639175415,6.697023391723633,-2.0754966735839844,5.913635730743408,-1.8448323011398315,5.132302284240723,-0.8080716729164124,4.129360675811768,0.11808297038078308,3.801457166671753,0.7717522978782654,3.131592273712158,-0.7453110218048096,3.468994140625,0.32835298776626587,2.955979108810425,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,8,80.0,90.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,479.9263610839844,1.9819540008904997,1060.2378231292516,0.9960598905046442,506.60010663597507,488.5217872205734,247485.18949993962,0.1319366392175444,0.4824237341518056,0.22734822627612372,0.32848206653948764,709.3989330771706,25.630806625941325,0.7254035910877764,0.017811959609389305,0.021993514150381088,0.5477680858460188,0.08911112689702631,6053.021447291411,894.9187759006148,2569.3027252530833,613.9922813755988,8914.493948514344,579.609054138476,-191.71783447265625,31.16799545288086,-21.75322151184082,27.417827606201172,12.134602546691895,10.728012084960938,2.6421053409576416,8.60006046295166,-6.386702537536621,7.529055118560791,-0.06262364238500595,8.80817699432373,-1.3244214057922363,8.70727825164795,0.7313257455825806,6.74009895324707,-0.022637467831373215,5.4277143478393555,1.5001047849655151,4.52475643157959,2.5690884590148926,4.002310276031494,-0.9770736694335938,3.5101318359375,0.6231656670570374,3.6344802379608154,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,9,90.0,100.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,469.67010498046875,2.0807541976467627,849.5861224489796,0.9944200170527819,357.4240344313566,441.9446763196788,157961.6492056396,0.11855204420397913,0.4578361842932547,0.2320593305066122,0.2687237430557997,247.9721203516333,12.645801670448444,0.6821819439717436,0.01230163499712944,0.018986901268363,0.5167147705649883,0.09122053434589658,5769.409491229885,926.257686661704,2782.61185300264,592.4498978578422,9008.897124743853,455.3158670303262,-205.2699432373047,36.618736267089844,-10.05142879486084,26.2833194732666,12.008880615234375,10.609235763549805,0.5305901765823364,7.229587554931641,-4.031919956207275,6.838235855102539,-0.6527113914489746,7.01578426361084,-1.639714002609253,6.52424955368042,0.00674481363967061,5.457644462585449,0.9643746018409729,4.104682922363281,2.328047037124634,3.8093528747558594,2.4728517532348633,3.5615897178649902,-0.7136234045028687,3.5037078857421875,0.39515718817710876,3.3341896533966064,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,10,100.0,110.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,418.3981628417969,1.6947916777538963,1136.0319274376418,-0.26657354958995483,0.5790634508730167,1547678.9755617115,896204.32843238,0.22444830036327323,0.4014221459332862,0.24650015097910194,0.2785776097456376,30.97557554983539,4.5983240672278995,0.8427373698777015,0.0656382367014885,0.0598626472055912,0.16991501390515223,0.10602633335119474,2560.5879069391895,719.3156537927811,2089.909331046422,390.785313582098,4419.3999743852455,885.4240229388716,-136.91537475585938,27.210649490356445,29.61441993713379,12.58818244934082,-26.20001983642578,21.163684844970703,18.61099624633789,12.764747619628906,8.796557426452637,12.519600868225098,-1.3746188879013062,8.511605262756348,0.17615492641925812,8.224441528320312,-3.3192005157470703,6.682200908660889,1.8591386079788208,6.0048828125,3.7476470470428467,5.035417079925537,-0.4428003430366516,4.641358375549316,-0.9398022294044495,4.471889495849609,0.6675643920898438,3.8421459197998047,CA,807038,Patagioenas fasciata,Band-tailed Pigeon,Patagioenas fasciata,0,0.0,10.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,397.196533203125,2.014384437573983,804.4832653061225,-0.943938446860486,0.02883916063806184,2125189.396967605,61288.678405454535,0.1412665244898864,0.4560135275745739,0.2642552534712236,0.3146756038030405,86.72651955953634,8.122264625906567,0.8437149504321764,0.058211132884025574,0.060659512877464294,0.1030730843823185,0.06429062864150568,2106.9978744334767,707.7181228153114,2173.866768495481,474.5102010292626,4141.939357069672,1226.0064594358075,-164.32427978515625,60.37997817993164,33.05400466918945,10.265420913696289,-12.816126823425293,13.679025650024414,14.941239356994629,10.531330108642578,5.854147911071777,10.38029670715332,-3.100203514099121,7.176200866699219,0.9416149258613586,6.164843559265137,-0.426207572221756,5.074731826782227,1.066367268562317,4.067434787750244,2.293853282928467,3.894272804260254,0.531000018119812,3.0176360607147217,-0.04104641079902649,3.37789249420166,0.6469179391860962,2.92677640914917,CA,807038,Patagioenas fasciata,Band-tailed Pigeon,Patagioenas fasciata,1,10.0,20.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,454.17889404296875,1.3103156328441028,859.62231292517,0.2344802923717128,1.6126041956468329,157083.2844758232,253313.1636116975,0.35341869337448406,0.554672014187404,0.3720991533827762,0.3437541808449991,59.495909343438925,6.634536264184027,0.5889007508492224,0.013427533209323883,0.026125570759177208,0.1291841243413349,0.043063678527994136,2541.0693700171623,450.89166851045405,2636.7548105302712,662.9495876288859,5539.807329021516,1752.069726504235,-239.2709503173828,32.65642547607422,41.2529182434082,19.281251907348633,2.957594394683838,19.71548080444336,4.211393356323242,14.623632431030273,5.758065223693848,10.207486152648926,-7.291579246520996,10.71951961517334,0.5474947690963745,9.403739929199219,0.908633828163147,8.049689292907715,0.7151551246643066,7.839892864227295,3.1217050552368164,9.108807563781738,1.0173016786575317,4.930420398712158,0.4005972146987915,5.609714031219482,2.8409321308135986,6.597509860992432,CA,380363,Laterallus jamaicensis,Black Rail,Laterallus jamaicensis,0,0.0,10.0,10.0,False,44100,1,False,False,False,False,False,False
