state,recording_id,common_name,scientific_name,quality,date,time,latitude,longitude,duration,audio_url,source_url,license,selection_seed,selection_method
CA,458919,Ross's Goose,Anser rossii,B,2018-01-19,11:28,33.0881,-115.7097,0:31,https://xeno-canto.org/458919/download,https://xeno-canto.org/458919,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,664841,Ruddy Duck,Oxyura jamaicensis,A,2021-07-18,07:33,32.6287,-116.923,0:20,https://xeno-canto.org/664841/download,https://xeno-canto.org/664841,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,486226,Ruffed Grouse,Bonasa umbellus,B,2019-07-08,05:30,41.6858,-117.5565,0:48,https://xeno-canto.org/486226/download,https://xeno-canto.org/486226,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,669065,Rufous Hummingbird,Selasphorus rufus,B,2021-08-15,14:30,37.3607,-118.3995,0:29,https://xeno-canto.org/669065/download,https://xeno-canto.org/669065,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,453180,Sandhill Crane,Antigone canadensis,B,2018-01-17,17:30,33.354,-114.6867,0:24,https://xeno-canto.org/453180/download,https://xeno-canto.org/453180,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,384977,Short-billed Gull,Larus brachyrhynchus,B,2017-01-27,16:46,40.5942,-124.2411,0:24,https://xeno-canto.org/384977/download,https://xeno-canto.org/384977,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,121403,Snow Goose,Anser caerulescens,B,2013-02-03,11:15,34.8,-114.522,0:35,https://xeno-canto.org/121403/download,https://xeno-canto.org/121403,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,378274,Sooty Grouse,Dendragapus fuliginosus,B,2017-06-30,17:30,38.9131,-120.0722,0:58,https://xeno-canto.org/378274/download,https://xeno-canto.org/378274,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,228580,Sora,Porzana carolina,A,2007-02-14,16:00,33.1188,-115.7945,0:07,https://xeno-canto.org/228580/download,https://xeno-canto.org/228580,https://creativecommons.org/licenses/by-nc-nd/4.0/,42,species_stratified_round_robin
CA,362097,Surf Scoter,Melanitta perspicillata,B,2017-02-05,07:27,32.7086,-117.1714,0:05,https://xeno-canto.org/362097/download,https://xeno-canto.org/362097,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,395208,Tundra Swan,Cygnus columbianus,B,2017-01-28,15:54,40.6864,-124.2127,0:22,https://xeno-canto.org/395208/download,https://xeno-canto.org/395208,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,256444,Vaux's Swift,Chaetura vauxi,B,2015-07-11,08:14,40.8702,-124.1157,0:23,https://xeno-canto.org/256444/download,https://xeno-canto.org/256444,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,120845,Virginia Rail,Rallus limicola,B,2012-04-18,?,32.875,-114.457,0:15,https://xeno-canto.org/120845/download,https://xeno-canto.org/120845,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,552939,White-throated Swift,Aeronautes saxatalis,A,2020-04-29,09:07,32.9343,-116.4822,0:19,https://xeno-canto.org/552939/download,https://xeno-canto.org/552939,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,232953,White-winged Dove,Zenaida asiatica,A,2011-06-14,15:11,32.8473,-114.4915,2:00,https://xeno-canto.org/232953/download,https://xeno-canto.org/232953,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,377125,Wild Turkey,Meleagris gallopavo,A,2017-06-20,8:04,35.332,-120.415,3:13,https://xeno-canto.org/377125/download,https://xeno-canto.org/377125,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,450846,Wood Duck,Aix sponsa,A,2018-05-27,08:53,38.2443,-121.4127,0:38,https://xeno-canto.org/450846/download,https://xeno-canto.org/450846,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,572270,Yellow Rail,Coturnicops noveboracensis,B,2020-06-23,17:00,41.9927,-120.326,0:41,https://xeno-canto.org/572270/download,https://xeno-canto.org/572270,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,265124,Yellow-billed Cuckoo,Coccyzus americanus,B,2015-08-01,09:25,40.8702,-124.1157,3:53,https://xeno-canto.org/265124/download,https://xeno-canto.org/265124,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,375491,African Collared Dove,Streptopelia roseogrisea,A,2017-06-14,14:30,33.922,-117.2617,0:09,https://xeno-canto.org/375491/download,https://xeno-canto.org/375491,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,691005,Allen's Hummingbird,Selasphorus sasin,A,2021-12-11,09:28,32.5747,-117.1264,0:31,https://xeno-canto.org/691005/download,https://xeno-canto.org/691005,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,363448,American Coot,Fulica americana,B,2017-03-26,15:31,35.465,-120.667,1:08,https://xeno-canto.org/363448/download,https://xeno-canto.org/363448,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,17795,American Wigeon,Mareca americana,A,2008-01-07,13:00,33.64224,-117.88672,0:19,https://xeno-canto.org/17795/download,https://xeno-canto.org/17795,https://creativecommons.org/licenses/by-nc-nd/2.5/,42,species_stratified_round_robin
CA,695151,Anna's Hummingbird,Calypte anna,B,2022-01-01,07:16,32.5458,-117.0737,0:33,https://xeno-canto.org/695151/download,https://xeno-canto.org/695151,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,585340,Band-tailed Pigeon,Patagioenas fasciata,B,2020-08-28,07:58,32.8598,-116.4343,0:13,https://xeno-canto.org/585340/download,https://xeno-canto.org/585340,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,167459,Black Rail,Laterallus jamaicensis,B,2013-06-30,09:30,37.442,-122.008,0:10,https://xeno-canto.org/167459/download,https://xeno-canto.org/167459,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,547258,Black-chinned Hummingbird,Archilochus alexandri,B,2020-04-13,18:30,33.658,-114.5279,0:18,https://xeno-canto.org/547258/download,https://xeno-canto.org/547258,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,964250,Blue-winged Teal,Spatula discors,B,2025-01-16,14:33,35.3217,-120.842,0:23,https://xeno-canto.org/964250/download,https://xeno-canto.org/964250,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,163344,Brant Goose,Branta bernicla,B,2012-11-29,07:39,32.7802,-117.2154,0:14,https://xeno-canto.org/163344/download,https://xeno-canto.org/163344,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,877615,Broad-billed Hummingbird,Cynanthus latirostris,A,2024-02-23,10:00,34.1104,-117.8608,0:17,https://xeno-canto.org/877615/download,https://xeno-canto.org/877615,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,652385,Broad-tailed Hummingbird,Selasphorus platycercus,B,2021-05-27,07:00,37.3607,-118.3995,0:24,https://xeno-canto.org/652385/download,https://xeno-canto.org/652385,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,361920,Bufflehead,Bucephala albeola,A,2017-01-28,12:58,40.8581,-124.0905,0:03,https://xeno-canto.org/361920/download,https://xeno-canto.org/361920,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
