recording_id,state,common_name,scientific_name,audit_action,audit_reason,flag_short_duration,flag_low_amplitude,flag_clipping,flag_low_quality,flag_any,file_size_bytes,duration_seconds,rms,peak_amplitude,quality
608781,AZ,Common Nighthawk,Chordeiles minor,KEEP,none,False,False,False,False,False,1434343,89.328,0.015043391846120358,0.7040959000587463,B
110689,AZ,Common Poorwill,Phalaenoptilus nuttallii,FLAG,low_amplitude,False,True,False,False,True,693253,42.97043083900227,0.007852161303162575,0.08006925135850906,B
196870,AZ,Costa's Hummingbird,Calypte costae,FLAG,low_amplitude,False,True,False,False,True,1255071,78.13224489795918,0.0074868714436888695,0.1590978354215622,B
623629,AZ,Gadwall,Mareca strepera,KEEP,none,False,False,False,False,False,3750743,234.096,0.024485625326633453,0.6815744638442993,B
1080401,AZ,Gambel's Quail,Callipepla gambelii,KEEP,none,False,False,False,False,False,1591306,5.4827916666666665,0.012224954552948475,0.31622767448425293,A
324293,AZ,Greater Roadrunner,Geococcyx californianus,FLAG,low_amplitude,False,True,False,False,True,3651851,227.91836734693877,0.009059108793735504,0.18408113718032837,B
453885,AZ,Greater White-fronted Goose,Anser albifrons,KEEP,none,False,False,False,False,False,362323,22.344,0.029273180291056633,0.696731448173523,B
265347,AZ,Green-winged Teal,Anas carolinensis,KEEP,none,False,False,False,False,False,227160,13.844897959183674,0.04796544089913368,0.44653385877609253,B
114789,AZ,Groove-billed Ani,Crotophaga sulcirostris,KEEP,none,False,False,False,False,False,441062,18.168,0.010593772865831852,0.32439377903938293,B
321958,AZ,Lesser Nighthawk,Chordeiles acutipennis,FLAG,low_amplitude,False,True,False,False,True,1674403,104.3330612244898,0.004168071784079075,0.04571262747049332,B
132967,AZ,Lucifer Sheartail,Calothorax lucifer,KEEP,none,False,False,False,False,False,1785048,111.22938775510204,0.010734107345342636,0.29562273621559143,B
511471,AZ,Mallard,Anas platyrhynchos,KEEP,none,False,False,False,False,False,1563600,55.21501133786848,0.043406035751104355,0.8416155576705933,B
583806,AZ,Mexican Duck,Anas diazi,FLAG,low_amplitude,False,True,False,False,True,1473855,91.8,0.003977298270910978,0.1956331580877304,B
175369,AZ,Mexican Whip-poor-will,Antrostomus arizonae,FLAG,low_amplitude,False,True,False,False,True,379494,31.224,0.007006477098912001,0.11773195117712021,B
154199,AZ,Montezuma Quail,Cyrtonyx montezumae,FLAG,low_amplitude,False,True,False,False,True,1191281,59.32408163265306,0.0004940760554745793,0.041650544852018356,B
452515,AZ,Northern Pintail,Anas acuta,KEEP,none,False,False,False,False,False,79301,4.656,0.045141275972127914,0.6949864625930786,B
218535,AZ,Northern Shoveler,Spatula clypeata,KEEP,none,False,False,False,False,False,283193,23.05240625,0.019183974713087082,0.5325180888175964,B
193254,AZ,Plain-capped Starthroat,Heliomaster constantii,FLAG,low_amplitude,False,True,False,False,True,108941,6.504489795918367,0.003936702851206064,0.16209828853607178,B
